cv_type,config,rmse_cm,skill,d_rmse_vs_M3,d_skill_vs_M3
spatial_block,M0 지역평균,20.924,-0.1288,1.974,-0.1065
spatial_block,M1 기후,17.447,0.0588,-1.503,0.0811
spatial_block,M2 지형,20.743,-0.119,1.793,-0.0967
spatial_block,M3 기후+지형,18.95,-0.0223,0.0,0.0
spatial_block,M4 +InSAR,18.883,-0.0187,-0.067,0.0036
spatial_block,M5 +PolSAR,19.678,-0.0616,0.728,-0.0393
spatial_block,M8 +CCI prior,19.353,-0.044,0.403,-0.0217
spatial_block,M9 전체,18.508,0.0015,-0.442,0.0238
spatial_block,Mloc 위치만(대조),17.198,0.0722,-1.752,0.0945
LORO,M0 지역평균,21.815,-0.1829,4.876,-0.2644
LORO,M1 기후,16.449,0.1081,-0.49,0.0266
LORO,M2 지형,19.396,-0.0517,2.457,-0.1332
LORO,M3 기후+지형,16.939,0.0815,0.0,0.0
LORO,M4 +InSAR,16.092,0.1274,-0.847,0.0459
LORO,M5 +PolSAR,16.981,0.0792,0.042,-0.0023
LORO,M8 +CCI prior,17.042,0.0759,0.103,-0.0056
LORO,M9 전체,16.297,0.1163,-0.642,0.0348
LORO,Mloc 위치만(대조),15.724,0.1474,-1.215,0.0659
