cv_type,config,nfeat,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean
spatial_block,M0 지역평균,0,14348,20.924,16.733,1.339,-0.2743,18.536,-0.1288
spatial_block,M1 기후,8,14348,17.447,13.114,3.343,0.1141,18.536,0.0588
spatial_block,M2 지형,6,14348,20.743,15.866,2.7,-0.2522,18.536,-0.119
spatial_block,M3 기후+지형,14,14348,18.95,14.623,4.227,-0.0451,18.536,-0.0223
spatial_block,M4 +InSAR,19,14348,18.883,14.726,4.878,-0.0377,18.536,-0.0187
spatial_block,M5 +PolSAR,17,14348,19.678,14.766,4.746,-0.127,18.536,-0.0616
spatial_block,M8 +CCI prior,16,14348,19.353,15.106,4.832,-0.09,18.536,-0.044
spatial_block,M9 전체,24,14348,18.508,14.207,4.822,0.003,18.536,0.0015
spatial_block,Mloc 위치만(대조),2,14348,17.198,12.283,1.914,0.1392,18.536,0.0722
LORO,M0 지역평균,0,14268,21.815,17.947,10.726,-0.3992,18.442,-0.1829
LORO,M1 기후,8,14268,16.449,11.882,3.216,0.2045,18.442,0.1081
LORO,M2 지형,6,14268,19.396,14.865,0.468,-0.1061,18.442,-0.0517
LORO,M3 기후+지형,14,14268,16.939,12.043,1.551,0.1564,18.442,0.0815
LORO,M4 +InSAR,19,14268,16.092,11.803,2.943,0.2386,18.442,0.1274
LORO,M5 +PolSAR,17,14268,16.981,12.242,2.241,0.1522,18.442,0.0792
LORO,M8 +CCI prior,16,14268,17.042,12.407,3.112,0.1461,18.442,0.0759
LORO,M9 전체,24,14268,16.297,11.931,2.716,0.2191,18.442,0.1163
LORO,Mloc 위치만(대조),2,14268,15.724,11.173,1.909,0.2731,18.442,0.1474
