borehole_id,site,lat,lon,elev,n_depths,max_depth,surface_magt,magt_10m,deep_magt,dzaa,geo_gradient_C_per_m,base_depth_0C,permafrost_present,sampling
97,Toolik Lake,68.627998,-149.595434,,14,90.0,-2.7703333333333333,-2.662444444444444,-1.3815,,0.01569601217656012,178.0297955447292,True,sparse
115,Kaktovik,70.11653,-143.62855,,35,74.0,-5.325,-8.182,-9.069,,0.0030406919598977675,,True,sparse
830,Galbraith Lake,68.477413,-149.502416,,117,73.0,-3.7577161472062115,-5.585999999999999,-4.5895,,0.007649251780894511,685.4204144417337,True,sparse
624,Fairbanks,64.86784,-147.78488,,75,68.7,-1.763074216714892,-3.0060833333333337,0.192,,0.058716314632502487,,True,sparse
749,Old Man,66.450214,-150.618819,,65,62.0,-1.854,-2.807111111111111,-1.0364444444444445,,0.03345444230844318,93.93463036435274,True,sparse
631,Fairbanks,64.32354,-146.6883,,67,61.2,-0.53,-1.7489999999999999,-0.07,,0.03346284077834703,63.327881443992,True,sparse
754,Eagle,64.778417,-141.180194,,45,61.0,18.667,-3.036,-1.041,,0.032529226601304626,93.11576890978415,True,sparse
831,Chandalar Shelf,68.069069,-149.580424,,96,60.9,-3.4739329918656376,-1.669,-0.532,,0.032969032925930626,77.30548403678128,True,sparse
102,Franklin Bluff,69.674138,-148.720761,,81,58.0,-5.8795,-6.227499999999999,-5.842,,0.011393994510768538,575.8384019612088,True,sparse
64,Dead Horse,70.161283,-148.4653,,74,54.4,-5.816111111111112,-6.698583333333333,-7.68,,-0.02862521991349602,,True,sparse
117,West Dock,70.374467,-148.552166,,43,54.3,-4.497249999999999,-8.391666666666666,-9.184999999999999,,-0.020767913487653774,,True,sparse
616,Fairbanks,64.874494,-147.848247,,25,52.0,-0.224,-0.42000000000000004,0.835,,0.06124870172022071,,True,sparse
109,Happy Valley,69.156459,-148.837404,,39,39.1,-4.589,-4.436888888888888,-4.7885,,-0.015830184654317285,,True,sparse
630,Fairbanks,64.706944,-148.291281,,53,37.6,1.8243379175606913,-1.4489999999999998,-0.74475,,0.029798265628728192,63.98299078774021,True,sparse
615,Fairbanks,64.875266,-147.846499,,22,35.7,-0.085,-0.336,0.746,,0.0680173977105293,,True,sparse
621,Fairbanks,64.85291,-147.85784,,59,20.0,1.78,0.33916666666666667,-0.16440000000000002,,-0.046803678720188716,,True,sparse
33,Barrow,71.309033,-156.661517,,59,15.0,-6.27007072452637,-8.1231911953495,-8.528990931198907,13.0,-0.08075781739144433,,True,seasonal
620,Fairbanks,64.866117,-147.856767,,32,3.0,1.0412333615031615,,-1.4353044428987645,,-0.1965551273366934,,True,seasonal
618,Fairbanks,64.867517,-147.858833,,19,2.96,2.528205239474192,,-0.34437363060742016,2.0,-0.17335367282105063,,True,seasonal
619,Fairbanks,64.8669,-147.858383,,40,2.8,-1.9383306515617,,-3.732573331918808,,0.010455759066816301,364.10630375234837,True,seasonal
88,Dead Horse,70.161703,-148.465055,,46,1.1,-3.440386561059908,,-3.590140681003584,,-0.7557602049504293,,True,seasonal
1110,Fairbanks,64.715,-148.2885,,9,1.07,2.092024901691699,,0.012460305626568344,,-0.5412226802587806,,False,seasonal
118,West Dock,70.37446,-148.55216,,42,1.07,-8.1893375624946,,-7.360644675533936,,-0.6162428898664072,,True,seasonal
610,Fairbanks,64.95061,-147.617694,,44,1.06,1.1120340820488372,,-0.3036551018845416,,0.026962532466308215,13.310413301512934,True,seasonal
116,Sagwon,69.43303,-148.67385,,53,1.06,-2.792156086789554,,-5.209966573860727,,0.4399417577482952,11.828943392021865,True,seasonal
103,Franklin Bluff,69.67414,-148.720766,,50,0.99,-5.020727662570405,,-4.608268942671408,,-0.006393101164742082,,True,seasonal
87,Dead Horse,70.161528,-148.46557,,43,0.99,-7.140473295521683,,-5.398018408562764,,-0.7355424137281162,,True,seasonal
106,Franklin Bluff,69.65513,-148.722016,,60,0.98,-3.373280258712315,,-4.955909261392729,,-0.28994021898044087,,True,seasonal
105,Franklin Bluff,69.67414,-148.720766,,48,0.97,-1.7796952124935992,,-4.743039662795349,,0.033825117674507424,130.02283867813063,True,seasonal
110,Happy Valley,69.146641,-148.848301,,29,0.94,-2.253264899403217,,-4.3517683820867985,,-0.4441476026493237,,True,seasonal
107,Franklin Bluff,69.65513,-148.722016,,13,0.91,-2.973255074494883,,-5.512810133687637,,-0.8855721837132393,,True,seasonal
95,Happy Valley,69.14664,-148.848353,,19,0.9,-2.1675834189664,,-4.107865221498314,,-1.4339498704409814,,True,seasonal
65,Ivotuk,68.4789,-155.738093,,15,0.83,-2.3196120082677183,,-2.2659889016145915,0.27,-2.351120328898799,,True,seasonal
104,Franklin Bluff,69.67414,-148.720766,,8,0.8,-4.887487910435463,,-4.275436973989323,,1.513851003074624,3.790810022753135,True,seasonal
74,Ivotuk,68.481002,-155.739549,,35,0.79,-3.2181438874745454,,-2.5360297843061956,,1.0892560921642545,2.642454349819804,True,seasonal
