cv,method,rmse,mae,n
무작위 K-fold,지역평균,123.2626998168291,70.41367086512832,3604
무작위 K-fold,IDW,28.010215971420116,12.72752257044386,3604
무작위 K-fold,Kriging,167.652837143587,95.37846590170933,3604
무작위 K-fold,GBM(공변량),36.68669859655674,17.11411364146893,3604
site-disjoint,지역평균,123.51406956653139,70.62758442816943,3604
site-disjoint,IDW,76.3191114833761,44.42736546779407,3604
site-disjoint,Kriging,163.02023163795343,83.57513854329518,3604
site-disjoint,GBM(공변량),71.9957444520447,39.750331845529175,3604
공간블록(500km),지역평균,125.44902305651613,73.26391007309061,3604
공간블록(500km),IDW,75.92243297678198,46.322878231660845,3604
공간블록(500km),Kriging,74.26804288829486,41.58893988138855,3604
공간블록(500km),GBM(공변량),83.94978833643368,45.91341449192111,3604
LORO(지역전이),지역평균,128.42390281019027,80.05629294582981,3604
LORO(지역전이),IDW,111.42701157811784,74.9082448175563,3604
LORO(지역전이),Kriging,197.51595985857466,109.55301563612173,3564
LORO(지역전이),GBM(공변량),103.85091611094951,58.604832583176545,3604
