borehole_id,site,lat,lon,alt_obs_cm,alt_pred_cm,n_depth,max_obs_depth_cm,alt_obs_near_maxdepth
33,Barrow,71.309033,-156.661517,40.7,50.3,46,300.0,0
65,Ivotuk,68.4789,-155.738093,57.4,77.6,14,83.0,0
74,Ivotuk,68.481002,-155.739549,77.4,78.0,34,79.0,1
87,Dead Horse,70.161528,-148.46557,74.5,55.3,41,99.0,0
88,Dead Horse,70.161703,-148.465055,72.1,55.7,46,110.0,0
95,Happy Valley,69.14664,-148.848353,64.2,84.1,18,90.0,0
106,Franklin Bluff,69.65513,-148.722016,70.3,71.2,58,98.0,0
110,Happy Valley,69.146641,-148.848301,34.3,88.5,28,94.0,0
116,Sagwon,69.43303,-148.67385,89.7,82.4,52,106.0,0
118,West Dock,70.37446,-148.55216,31.9,77.6,41,107.0,0
610,Fairbanks,64.95061,-147.617694,71.7,103.7,43,106.0,0
618,Fairbanks,64.867517,-147.858833,193.1,103.2,18,296.0,0
619,Fairbanks,64.8669,-147.858383,67.3,121.1,37,280.0,0
620,Fairbanks,64.866117,-147.856767,119.3,104.1,32,300.0,0
624,Fairbanks,64.86784,-147.78488,69.0,168.4,9,300.0,0
630,Fairbanks,64.706944,-148.291281,74.7,104.0,19,160.0,0
746,Chevak,61.53805,-165.60133,105.7,,3,300.0,0
752,Circle,65.817,-144.067,247.7,,3,300.0,0
755,Arctic Village,68.129,-145.534,98.8,85.7,4,300.0,0
830,Galbraith Lake,68.477413,-149.502416,50.6,,31,200.0,0
831,Chandalar Shelf,68.069069,-149.580424,42.6,40.4,33,88.0,0
