config,region,n,rmse_cm,skill_over_mean,r2,bias_cm
M_clim,ABoVE_CA,726,25.906,0.1417,0.2634,2.158
M_clim,ABoVE_AK,13542,25.152,-0.4473,-1.0946,12.618
M_clim,Lena_RU,3037,23.975,-0.1366,-0.2918,11.374
M_climterr,ABoVE_CA,726,26.434,0.1242,0.233,-2.354
M_climterr,ABoVE_AK,13542,21.68,-0.2475,-0.5562,7.486
M_climterr,Lena_RU,3037,22.133,-0.0492,-0.1009,7.793
M_soil,ABoVE_CA,726,29.268,0.0303,0.0598,18.324
M_soil,ABoVE_AK,13542,18.497,-0.0643,-0.1328,2.758
M_soil,Lena_RU,3037,62.623,-1.9688,-7.8137,55.021
M_soilonly,ABoVE_CA,726,28.628,0.0515,0.1004,17.725
M_soilonly,ABoVE_AK,13542,18.228,-0.0489,-0.1001,5.869
M_soilonly,Lena_RU,3037,47.8,-1.2661,-4.1352,39.014
