cv_type,model,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,cov90_pct,width90_cm
LORO,앙상블(GBM+FT-T),17305,19.189,14.049,5.875,0.0043,19.231,0.0022,,
LORO,FT-Transformer,17305,19.368,14.208,4.184,-0.0143,19.231,-0.0071,,
LORO,GBM,17305,20.817,15.561,8.096,-0.1717,19.231,-0.0824,,
LORO,Diffusion,17305,23.48,18.336,8.213,-0.4907,19.231,-0.2209,84.1,71.1
LORO,MLP,17305,30.324,22.316,14.726,-1.4864,19.231,-0.5768,,
LORO,Flow,17305,32.389,25.369,12.913,-1.8366,19.231,-0.6842,67.4,77.2
LORO,TabM,17305,35.535,23.866,13.846,-2.4142,19.231,-0.8478,34.6,36.8
spatial_block,GBM,17422,19.326,14.305,4.709,0.0876,20.232,0.0448,,
spatial_block,앙상블(GBM+FT-T),17422,20.094,15.092,5.587,0.0135,20.232,0.0068,,
spatial_block,MLP,17422,20.68,14.826,4.467,-0.0448,20.232,-0.0221,,
spatial_block,TabM,17422,20.787,14.709,4.997,-0.0556,20.232,-0.0274,33.4,17.5
spatial_block,Diffusion,17422,22.302,16.325,4.966,-0.2151,20.232,-0.1023,65.0,41.9
spatial_block,FT-Transformer,17422,22.316,16.763,6.952,-0.2166,20.232,-0.103,,
spatial_block,Flow,17422,22.612,16.879,6.513,-0.2491,20.232,-0.1176,63.6,44.6
