cv_type,fold,fold_label,region,n,E_const,E_soil_mean,E_soil_std,E_nn_mean,E_nn_std
spatial_block,0,fold0,ABoVE_AK,4714,1.541,1.4998,0.0242,1.8427,0.2508
spatial_block,1,fold1,ABoVE_AK,2247,1.2205,1.6127,0.041,1.4228,0.1641
spatial_block,1,fold1,ABoVE_CA,67,1.2205,1.3373,0.021,1.6454,0.2329
spatial_block,1,fold1,Lena_RU,204,1.2205,1.445,0.0244,1.3223,0.1797
spatial_block,2,fold2,ABoVE_AK,2329,1.3398,1.6494,0.0188,1.58,0.2548
spatial_block,2,fold2,ABoVE_CA,164,1.3398,1.5532,0.0342,1.0638,0.1681
spatial_block,3,fold3,ABoVE_AK,2114,1.1606,1.6021,0.0541,1.5952,0.3779
spatial_block,3,fold3,ABoVE_CA,233,1.1606,1.3327,0.0864,1.3642,0.1982
spatial_block,3,fold3,Lena_RU,172,1.1606,1.6325,0.0266,1.3584,0.2694
spatial_block,4,fold4,ABoVE_AK,1810,1.3016,1.6706,0.0333,2.1662,0.6553
spatial_block,4,fold4,ABoVE_CA,146,1.3016,1.3867,0.028,1.4913,0.1712
spatial_block,4,fold4,Lena_RU,563,1.3016,1.5279,0.0312,1.2425,0.1827
spatial_block,5,fold5,ABoVE_AK,328,1.2879,1.6431,0.0497,1.4343,0.5217
spatial_block,5,fold5,ABoVE_CA,116,1.2879,1.5041,0.0608,1.5018,0.384
spatial_block,5,fold5,Lena_RU,2076,1.2879,1.6151,0.01,1.7616,0.5548
LORO,0,ABoVE_CA,ABoVE_CA,726,1.25,1.3359,0.105,2.0321,0.64
LORO,1,ABoVE_AK,ABoVE_AK,13542,2.127,1.676,0.2817,1.5302,0.2587
LORO,2,Lena_RU,Lena_RU,3037,1.2654,1.6136,0.0118,2.5212,0.7559
